id-enccre,headword,text,coordinates,meridian,coordinates_txt,gpt_preds
v1-1015-0,AKISSAR ou AK-HISSAR,"*​ AKISSAR ou AK-HISSAR, (Géog.)​ ville d’Asie dans la Natolie, sur la riviere Hermus. Long. 46. lat. 38. 50.","[[""38 50' N 46 E""]]",,38 50' N 46 E,38 50' N 46 E
v1-1021-1,Alais,"*​ Alais, (Géog.)​ ville de France dans le bas Languedoc sur la riviere de Gardon. Long. 21. 32. lat. 44. 8.","[[""44 8' N 21 32' E""]]",,44 8' N 21 32' E,44 8' N 21 32' E
v1-1039-0,ALATRI,"*​ ALATRI, (Géog.)​ ancienne ville d’Italie, dans la campagne de Rome. Long. 30. 58 lat. 41. 44.","[[""41 44' N 30 58' E""]]",,41 44' N 30 58' E,41 44' N 30 58' E
v1-1053-0,ALBARAZIN,"*​ ALBARAZIN, (Géog.)​ ville d’Espagne au​ Royaume d’Arragon, sur le Guadalabiar. Long. 16. 12. lat. 40. 32.","[[""40 32' N 16 12' E""]]",,40 32' N 16 12' E,40 32' N 16 12' E
v1-1059-0,ALBAZIN,"*​ ALBAZIN, (Géog.)​ ville de la grande Tartarie. Long. 122. lat. 54.",[['54 N 122 E']],,54 N 122 E,54 N 122 E
v1-1082-0,ALBOURG,*​ ALBOURG (Géog.)​ ville de Danemark dans le Nord Jutland. Lon. 27. lat. 57.,[['57 N 27 E']],,57 N 27 E,57 N 27 E
v1-1150-0,ALEP,"*​ ALEP, (Géog.)​ grande ville de Syrie, en Asie, sur le ruisseau Marsgras ou Coié. Long. 55. lat. 35. 50.


Le commerce d’Alep est le même que d’Alexandrette, qui n’est, à proprement parler, que le port d’Alep. Les pigeons y servent de couriers ; on les instruit à ce voyage, en les transportant d’un de ces endroits dans l’autre, quand ils ont leurs petits. L’ardeur de retrouver leurs petits, les ramene d’Alep à Alexandrette, ou d’Alexandrette à Alep, en trois heures, quoiqu’il y ait vingt à vingt-cinq lieues. La défense d’aller autrement qu’à cheval d’Alexandrette à Alep, a été faite pour empêcher par les frais le Matelot de hâter la vente, d’acheter trop cher, & de fixer ainsi le tau des marchandises trop haut. On voit à Alep des Marchands François, Anglois, Hollandois, Italiens, Arméniens, Turcs, Arabes, Persans, Indiens, &c. Les marchandises propres pour cette échelle, sont les mêmes que pour Smyrne. Les retours sont en soie, toile de coton, comme amanblucies, anguilis, lizales, toiles de Beby, en Taquis, à Jamis, & indiennes, cotons en laine ou filés, noix de galle, cordoüans, savons, & camelots fort estimés.","[[""35 50' N 55 E""]]",,35 50' N 55 E,35 50' N 55 E
v1-1308-0,ALMERIE,"*​ ALMERIE, ville maritime d’Espagne dans le Royaume de Grenade, avec un bon port sur la Méditerranée, sur la riviere d’Almorra. Long. 15. 45. lat. 36. 51.","[[""36 51' N 15 45' E""]]",,36 51' N 15 45' E,36 51' N 15 45' E
v1-1368-1,Altenbourg,"Altenbourg, autre ville du même nom, dans la basse-Hongrie, dans la contrée de Moson, près du Danube. Long. 35. 30. lat. 44.","[[""44 N 35 30' E""]]",,44 N 35 30' E,44 N 35 30' E
v1-1369-0,ALTENDORF,"*​ ALTENDORF, ville d’Allemagne, dans le cercle du haut-Rhin, & le landgraviat de Hesse, sur le Weser. Long. 27. 40. lat. 51. 50.","[[""51 50' N 27 40' E""]]",,51 50' N 27 40' E,51 50' N 27 40' E
v1-1423-0,AMALFI,"*​ AMALFI, ville d’Italie au Royaume de Naples sur la côte occidentale du golfe de Salerne. Long. 37. 7. lat. 40. 35.","[[""40 35' N 37 7' E""]]",,40 35' N 37 7' E,40 35' N 37 7' E
